Част,Описание,Файл/ID,Коментар,Работили по,Готово?,Проверил,"Проверено, за включване",
0,Коригирана първа част,,,,Неясно,,Какво да взимам и да поправям по първата част ?,
1,Визия,vision.txt,,Анджи,Неясно,,"Защо имаме толкова неща вътре, всичкото ли е за визията ?",
2,UC модел (диаграма),,,Антон Мартин Велин,Да,,,
3,Списък актьори и роли,actors.txt,,,,,,
4,Подреден (критерии) brief списък UC,use.cases.brief.txt,,,,,,
,,uc-a-01,Търсене на обява,Георги,Да,"Венци, Анджи",,
,,uc-a-02,Добавяне на обява,Танков,Да,Анджи,,
,,uc-a-03,Обработка на заявка за брокер,Краси,Да,Анджи,,
,,uc-a-04,Промяна на правомощия на профил (разжалване от брокер),Мартин,Да,Анджи,,
,,uc-a-05,Разглеждане на одит лог,Велин,Да,Анджи,,
,,uc-a-06,Подаване на заявка за брокер,Анджи,Да,,,
,,uc-a-07,Промяна на статуса на обява,Цецо,Да,Анджи,,
,,uc-b-01,Изпращане съобщение през контактна форма,Бранев,Да,Анджи,,
,,uc-b-02,Регистриране,Мартин,Да,Анджи,,
,,uc-b-03,Промяна на лични данни,Бранев,Да,Анджи,,
,,uc-b-04,Промяна на обява,Антон,Да,Анджи,,
,,uc-b-05,Изтриване на обява,Анджи,Да,,,
,,uc-b-06,Асоцииране на обява с брокер,Венци,Да,Анджи,,
,,uc-c-01,Споделяне на обява,БЕЗ?,,,,
,,uc-c-02,Изпращане на съобщение през чат система,Анджи,Да,,,
,,uc-c-03,"Запазване на обява в ""любими""",Краси,Да,Анджи,,
,,uc-c-04,Рейтване на обява,Георги,Да,,,
,,uc-c-05,Рейтване на брокер,Цецо,Да,,,
,,uc-c-06,Препращане на съобщения от контактна форма,Антон,Да,,,
,,uc-c-07,Разглеждане на списък с потребители,Анджи,Да,,,
,,uc-c-08,Премахване на акаунт от системата,Венци,Да,,,
5,Шаблон за UC,,,Велин,Да,,,
6,FULL UC (20 бр.),,,,,,,
,,uc-a-01.txt,Търсене на обява,Георги,Да,Анджи,,
,,uc-a-02.txt,Добавяне на обява,Танков,Да,Конов,Анджи,Преправено от Велин
,,uc-a-03.txt,Обработка на заявка за брокер,Краси,Да,Конов,Анджи,Преправено от Велин
,,uc-a-04.txt,Промяна на правомощия на профил (разжалване от брокер),Мартин,Да,Конов,Анджи,Преправено от Велин
,,uc-a-05.txt,Разглеждане на одит лог,Велин,Да,Конов,Анджи,Преправено от Велин
,,uc-a-06.txt,Подаване на заявка за брокер,Анджи,Да,Конов,,Преправено от Велин
,,uc-a-07.txt,Промяна на статуса на обява,Цецо,Да,Конов,Анджи,Преправено от Велин
,,uc-b-01.txt,Изпращане съобщение през контактна форма,Бранев,Да,Конов,Анджи,Преправено от Велин
,,uc-b-02.txt,Регистриране,Мартин,Да,Конов,Анджи,Преправено от Велин
,,uc-b-03.txt,Промяна на лични данни,Бранев,Да,Конов,,Преправено от Велин
,,uc-b-04.txt,Промяна на обява,Антон,Да,Конов,,Преправено от Велин
,,uc-b-05.txt,Изтриване на обява,Анджи,Да,Конов,,Преправено от Велин
,,uc-b-06.txt,Асоцииране на обява с брокер,Венци,Да,Конов,,Преправено от Велин
,,uc-c-01.txt,Споделяне на обява,БЕЗ?,,,,
,,uc-c-02.txt,Изпращане на съобщение през чат система,,,,,
,,uc-c-03.txt,"Запазване на обява в ""любими""",Краси,Да,Конов,,Преправено от Велин
,,uc-c-04.txt,Рейтване на обява,Георги,Да,Конов,,Преправено от Велин
,,uc-c-05.txt,Рейтване на брокер,Цецо,Да,Конов,,Преправено от Велин
,,uc-c-06.txt,Препращане на съобщения от контактна форма,Антон,Да,Конов,,Преправено от Велин
,,uc-c-07.txt,Разглеждане на списък с потребители,,,,,
,,uc-c-08.txt,Премахване на акаунт от системата,Венци,Да,Конов,,Преправено от Велин
7,FURPS,furps.txt,,Бранев,Да,Велин,Да,
8,Речник,dict.txt,,Краси,Да,,,
9,Време,time.logging.csv,"Моля, всички да си отразяват времето",,,,,
